relative_path,title_en,title_np,document_type,local_government_code,fiscal_year_code,language,source_url,source_url_kind,data_classification,source_note,project_code,relationship,page_from,page_to,section,evidence_note_en,evidence_note_np
pokhara_metropolitian/77-78.pdf,Pokhara Annual Budget and Program 2077/78,पोखरा वार्षिक बजेट तथा कार्यक्रम २०७७/७८,budget_book,PKR,2077-78,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact PDF attachment URL pending verification,PKR-W08-JALPA-2077-78,allocation,168,168,ज्ञान बहादुर जाल्पा मार्ग सडक निर्माण,The red book records two source rows totalling NPR 800000 for the Ward 8 road entry in a table stated in NPR thousands.,रातो किताबको रु. हजारमा तालिकामा वडा नं. ८ को सडक प्रविष्टिका लागि दुई स्रोत पङ्क्तिमा जम्मा रु. ८००००० विनियोजन देखिन्छ।
pokhara_audited/77-78 audit.pdf,Pokhara Metropolitan City Audit Report 2077/78,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७७/७८,audit_report,PKR,2077-78,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,PKR-W08-JALPA-2077-78,audit,48,48,पेश्की बाँकी,The official audit section on unsettled expired advances names Jalpa Marg drain and blacktopping in Ward 8 and P.L. Construction. Two NPR 690000 ledger rows require human review before aggregation.,आधिकारिक लेखापरीक्षणको म्याद नाघेको पेश्की बाँकी खण्डमा वडा नं. ८ को जाल्पा मार्ग नाला निर्माण तथा कालोपत्रे र पि.एल. कन्स्ट्रक्सन उल्लेख छ। रु. ६९०००० का दुई लेखा पङ्क्ति जोड्नुअघि मानवीय समीक्षा आवश्यक छ।
pokhara_audited/78-79 audit.pdf,Pokhara Metropolitan City Audit Report 2078/79,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७८/७९,audit_report,PKR,2078-79,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/79-80 audit.pdf,Pokhara Metropolitan City Audit Report 2079/80,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७९/८०,audit_report,PKR,2079-80,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/80-81 audit.pdf,Pokhara Metropolitan City Audit Report 2080/81,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०८०/८१,audit_report,PKR,2080-81,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/81-82 audit.pdf,Pokhara Metropolitan City Audit Report 2081/82,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०८१/८२,audit_report,PKR,2081-82,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/77-78 audit (1).pdf,Rupa Rural Municipality Audit Report 2077/78,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७७/७८,audit_report,RUPA,2077-78,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/78-79 audit (1).pdf,Rupa Rural Municipality Audit Report 2078/79,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७८/७९,audit_report,RUPA,2078-79,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/79-80 audit (1).pdf,Rupa Rural Municipality Audit Report 2079/80,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७९/८०,audit_report,RUPA,2079-80,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/80-81 audit (1).pdf,Rupa Rural Municipality Audit Report 2080/81,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०८०/८१,audit_report,RUPA,2080-81,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/81-82 audit (1).pdf,Rupa Rural Municipality Audit Report 2081/82,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०८१/८२,audit_report,RUPA,2081-82,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_metropolitian/78-79.pdf,Pokhara Red Book and Annual Program 2078/79,पोखरा रातो किताब तथा वार्षिक कार्यक्रम २०७८/७९,budget_book,PKR,2078-79,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
pokhara_metropolitian/79-80.pdf,Pokhara Annual Development Program and Red Book 2079/80,पोखरा वार्षिक विकास कार्यक्रम तथा रातो किताब २०७९/८०,budget_book,PKR,2079-80,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
